"today","farmer_ID","catchID","q0","Check2.q1","Check2.q2","Check2.q3","Check2.check.maize.q8","Check2.check.maize.q9","Check2.check.maize.q10","Check2.check.maize.q11","Check2.check.maize.q12","Check2.check.maize.q13","Check2.check.maize.q14","Check2.check.maize.q15","Check2.check.maize.q16","Check2.check.maize.q17","Check2.check.maize.q18","Check2.check.maize.q20","Check2.check.maize.q21","Check2.check.maize.q22","Check2.check.maize.q23","Check2.check.maize.q24","Check2.check.maize.q25a","Check2.check.maize.q25b","Check2.check.maize.q25c","Check2.check.maize.q25d","Check2.check.maize.q25f","Check2.check.maize.q25f_2","Check2.check.maize.q25g","Check2.check.maize.q25h","Check2.check.maize.q26.Longe_10H","Check2.check.maize.q26.Longe_7H","Check2.check.maize.q26.Longe_7R_Kayongo.go","Check2.check.maize.q26.Bazooka","Check2.check.maize.q26.Longe_6H","Check2.check.maize.q26.Longe_5","Check2.check.maize.q26.Longe_4","Check2.check.maize.q26.Panner","Check2.check.maize.q26.Wema","Check2.check.maize.q26.KH_series","Check2.check.maize.q26.Land_Races","Check2.check.maize.q26.Other_hybrid","Check2.check.maize.q26.98","Check2.check.maize.q27","Check2.check.maize.plot_count","Check2.check.maize.q29","Check2.check.maize.q30","Check2.check.maize.q30a.1","Check2.check.maize.q30a.2","Check2.check.maize.q30a.3","Check2.check.maize.q30a.4","Check2.check.maize.q30a.5","Check2.check.maize.q30a.6","Check2.check.maize.q30a.96","Check2.check.maize.q30b","Check2.check.maize.q31","Check2.check.maize.q32","Check2.check.maize.q34","Check2.check.maize.q35a","Check2.check.maize.q35b","Check2.check.maize.q35c","Check2.check.maize.q35d","Check2.check.maize.q35e","Check2.check.maize.q35f","Check2.check.maize.q35g","Check2.check.maize.q35h","Check2.check.maize.q35i","Check2.check.maize.q35j","Check2.check.maize.q36","Check2.check.maize.q36b","Check2.check.maize.q37","Check2.check.maize.q38","Check2.check.maize.q39","Check2.check.maize.q40","Check2.check.maize.q41","Check2.check.maize.q42","Check2.check.maize.q43","Check2.check.maize.q43a","Check2.check.maize.q44","Check2.check.maize.q44a","Check2.check.maize.q45","Check2.check.maize.q46","Check2.check.maize.q47","Check2.check.maize.q48","Check2.check.maize.q49","Check2.check.maize.q50","Check2.check.maize.q51","Check2.check.maize.q52","Check2.check.maize.q53","Check2.check.maize.q54","Check2.check.maize.q55","Check2.check.maize.q56","Check2.check.maize.q57","Check2.check.maize.clearing","Check2.check.maize.clear.shops_count","Check2.check.maize.video_shown"
"2021-04-17","F_1886",94,"Yes","Yes","Yes","n/a",12,0.5,4,2,0,"n/a",67,"Male","a","a",12,2,"b",0.5,"1976-01-01","No","No","n/a","n/a","n/a","2","n/a","n/a","Yes","True","False","False","False","False","True","False","False","False","False","False","False","False",1,1,0.5,"Yes","False","True","False","False","False","False","False","60","Land_Races","b","e",3,2,2,3,4,1,4,98,3,3,"Yes","n/a","Yes",5,"0","a","n/a","No","No","n/a","No","n/a",3,14,"No",1,"No",0.75,100,28000,"No","n/a","n/a","n/a",1,TRUE,"2",TRUE
"2021-04-17","F_1887",94,"Yes","Yes","Yes","n/a",999,1,3.2,1,0,"n/a",50,"Male","a","a",17,3,"b",4,"1985-01-01","Yes","Yes","d","n/a","40","n/a","6","n/a","Yes","True","False","False","False","False","True","False","False","False","False","True","False","False",3,3,1.5,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Longe_5","d","n/a",4,4,3,2,4,1,2,4,3,4,"No","Yes","No",15,"3000","96","3","No","Yes","25","No","n/a",2,14,"Yes",2,"Yes",12,100,40000,"Yes","7","100000","0",999,TRUE,"2",TRUE
"2021-04-17","F_2404",81,"Yes","Yes","Yes","n/a",8,1,3,1,0.2,"n/a",60,"Female","b","b",10,5,"b",3,"1979-01-01","No","No","n/a","n/a","n/a","2","n/a","n/a","No","False","False","False","False","False","False","False","False","False","False","True","True","False",1,1,1,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Land_Races","a","f",3,2,2,3,2,3,5,2,2,2,"Yes","n/a","Yes",10,"n/a","96","4","No","No","n/a","No","n/a",2,21,"Yes",2,"Yes",2.5,100,30000,"No","n/a","n/a","n/a",4,TRUE,"2",FALSE
"2021-04-17","F_1885",94,"Yes","No","n/a","Yes",999,1,999,999,0.1,"a",35,"Male","a","g",7,3,"b",2.5,"2003-01-01","No","No","n/a","n/a","n/a","1","n/a","n/a","No","False","False","False","False","False","False","False","False","False","False","True","False","True",2,2,1,"Yes","False","True","False","False","False","False","False","80","Land_Races","a","f",1,1,4,2,2,2,5,1,5,4,"Yes","n/a","Yes",5,"n/a","96","5","No","No","n/a","No","n/a",2,14,"No",2,"Yes",1.5,100,50000,"No","n/a","n/a","n/a",8,TRUE,"2",TRUE
"2021-04-17","F_2403",81,"Yes","Yes","Yes","n/a",8,1.5,2,1,0.2,"n/a",43,"Male","a","c",9,3,"b",1,"1994-01-01","No","No","n/a","n/a","n/a","2","n/a","n/a","Yes","False","False","False","False","False","True","False","False","False","False","True","False","False",1,1,0.5,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","98","c","n/a",2,2,4,4,4,3,3,2,2,5,"Yes","n/a","Yes",4,"500","c","3","No","No","n/a","No","n/a",2,14,"No",4,"Yes",3,100,60000,"No","n/a","n/a","n/a",3,TRUE,"2",FALSE
"2021-04-17","F_3373",94,"Yes","Yes","Yes","n/a",27,1,1,2,0,"n/a",36,"Female","a","d",7,4,"b",2,"2001-01-01","No","Yes","f","n/a","n/a","2","n/a","n/a","98","True","False","False","True","False","True","False","False","False","False","False","False","False",1,1,1,"Yes","False","True","False","False","False","False","False","70","Longe_5","f","n/a",4,2,3,3,4,1,4,4,3,3,"Yes","n/a","Yes",10,"0","b","2","No","Yes","4","No","n/a",2,21,"No",2,"No",8.5,100,50000,"Yes","7","50000","20",12,TRUE,"2",FALSE
"2021-04-17","F_3371",94,"Yes","No","n/a","Yes",23,2,1,2,0.1,"a",38,"Male","a","c",7,5,"b",2,"2005-01-01","No","Yes","d","n/a","2","n/a","1","n/a","Yes","False","False","False","False","False","False","False","False","False","False","True","False","False",2,2,0.25,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Longe_5","d","n/a",2,2,4,3,4,2,3,4,5,1,"No","No","Yes",2,"3000","96","3","No","No","n/a","No","n/a",3,30,"No",3,"Yes",1.5,100,50000,"No","n/a","n/a","n/a",3,TRUE,"2",FALSE
"2021-04-17","F_1883",94,"Yes","Yes","Yes","n/a",18,1.5,3,2,0.1,"n/a",32,"Male","a","c",7,1,"b",3,"2007-01-01","No","No","n/a","n/a","n/a","2","n/a","n/a","Yes","False","False","False","False","False","False","False","False","False","False","True","True","False",3,3,0.3,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Other_hybrid","a","c",4,4,2,2,3,4,5,3,5,5,"Yes","n/a","No",3,"n/a","c","3","No","No","n/a","No","n/a",2,21,"No",2,"No",2.5,100,50000,"Yes","2","40000","10",2.5,TRUE,"2",TRUE
"2021-04-17","F_1889",94,"Yes","No","n/a","Yes",23,1,2,1,0.2,"a",56,"Male","a","b",12,4,"a",3,"1993-01-01","No","No","n/a","n/a","n/a","2","n/a","n/a","Yes","False","False","False","False","False","False","False","False","False","False","True","False","False",1,1,1,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Land_Races","a","f",3,2,1,1,3,4,4,2,5,5,"Yes","n/a","Yes",10,"n/a","a","n/a","No","No","n/a","No","n/a",3,21,"No",3,"Yes",3,100,40000,"No","n/a","n/a","n/a",999,TRUE,"2",TRUE
"2021-04-17","F_3374",94,"Yes","Yes","Yes","n/a",21,0,1,2,0,"n/a",32,"Female","d","c",5,4,"b",2.5,"2018-01-01","No","No","n/a","n/a","n/a","2","n/a","n/a","Yes","True","False","False","False","False","True","False","False","False","False","False","False","False",1,1,2.5,"Yes","False","True","False","False","False","False","False","70","Land_Races","a","c",4,2,3,3,4,1,4,4,3,4,"Yes","n/a","Yes",20,"n/a","96","5","No","No","n/a","No","n/a",3,21,"No",2,"Yes",6,100,50000,"Yes","4","50000","20",10,TRUE,"2",FALSE
"2021-04-17","F_1532",81,"Yes","No","n/a","Yes",14,0.2,4,2,0.2,"a",61,"Male","a","c",5,3,"b",1,"1980-01-01","No","No","n/a","n/a","n/a","2","n/a","n/a","No","False","False","False","False","False","True","False","False","False","True","False","True","False",1,1,1,"Yes","False","True","False","False","False","False","False","70","Land_Races","a","f",4,2,3,2,4,1,5,2,3,2,"No","n/a","No",14,"n/a","96","4","No","No","n/a","No","n/a",3,14,"No",4,"No",1,110,50000,"No","n/a","n/a","n/a",2.5,TRUE,"2",TRUE
"2021-04-17","F_3376",94,"Yes","No","n/a","Yes",23,2,2,2,0.1,"a",45,"Male","a","b",5,2,"a",1,"1987-01-01","No","No","n/a","n/a","n/a","6","n/a","n/a","98","False","False","False","False","False","False","False","False","False","False","True","False","False",1,1,0.5,"Yes","False","True","False","False","False","False","False","50","Land_Races","a","f",4,4,4,2,3,4,5,2,3,5,"Yes","n/a","Yes",3,"n/a","b","4","No","No","n/a","No","n/a",2,30,"No",4,"Yes",2.5,100,50000,"No","n/a","n/a","n/a",3,TRUE,"2",FALSE
