"shop_ID","catchID","quality_rating","general","yield","drought_resistent","disease_resistent","early_maturing","germination","nr_reviews","quality_rating_av","general_av","yield_av","drought_resistent_av","disease_resistent_av","early_maturing_av","germination_av","score","score_corrected"
"AD_178",59,4.5,4.25,3.75,2.75,2.25,4,3.5,4,3.80347502637419,3.91895121685038,3.54736530976027,2.92267907162865,2.47128396813271,3.84182036450944,3.67385499654407,3.57142857142857,3.57142857142857
"AD_180",60,4,3,3,2.5,2,3.5,3.5,2,3.375,3.625,3.25,2.875,2,3.375,3.375,3.07142857142857,3.07142857142857
"AD_182",32,4,3.875,3.85714285714286,3.33333333333333,3,4,3.85714285714286,8,3.68913139329806,3.80281606794765,3.65181008075745,3.07385912698413,2.84387930610841,3.94626670843776,3.59866071428571,3.70323129251701,3.60077255418992
"AD_183",44,3,3.8,3.2,3,2.4,3.8,4,5,2.97166666666667,3.32291666666667,3.25535714285714,2.83333333333333,2.26071428571429,3.8,3.7452380952381,3.31428571428571,3.21182697595862
"AD_184",56,3.9,3.9,3.8,2.77777777777778,2.3,4,3.8,10,3.61666666666667,3.61666666666667,3.31666666666667,2.80555555555556,2.23333333333333,3.75,3.31666666666667,3.4968253968254,3.39436665849831
"AD_185",58,3.16666666666667,4,3.2,2.83333333333333,2.16666666666667,4,3.83333333333333,6,3.11111111111111,4.03333333333333,3.31666666666667,3.44444444444444,2.13888888888889,4,4.11111111111111,3.31428571428571,3.21182697595862
"AD_186",7,3.5,3.5,4,2,1.5,4,3,2,3.55555555555556,3.71111111111111,3.66111111111111,2.45,2.01111111111111,3.93333333333333,3.68333333333333,3.07142857142857,2.96896983310148
"AD_188",62,3.125,3.375,3.125,2.75,2.375,3.375,2.75,8,3.64166666666667,3.58055555555556,3.16071428571429,2.6547619047619,2.55357142857143,3.68910256410256,3.08333333333333,2.98214285714286,2.87968411881577
"AD_190",5,3.6,4,4.4,3.6,3,4,4,5,4.19326923076923,3.72115384615385,3.96057692307692,3.29903846153846,2.86538461538462,4,4.00480769230769,3.8,3.69754126167291
"AD_193",58,3.16666666666667,3.6,3.25,3.5,2.25,4,4,6,3.11111111111111,4.03333333333333,3.31666666666667,3.44444444444444,2.13888888888889,4,4.11111111111111,3.3952380952381,3.292779356911
"AD_194",65,4,5,4,2,1.5,4,3,2,4,5,4,2,1.5,4,3,3.35714285714286,3.35714285714286
"AD_195",49,5,5,4,2,2,5,4,1,5,4.5,4,2.5,2,4.5,4,3.85714285714286,3.75468411881577
"AD_196",44,3.125,3.625,3.57142857142857,3,2.14285714285714,4,3.71428571428571,8,2.97166666666667,3.32291666666667,3.25535714285714,2.83333333333333,2.26071428571429,3.8,3.7452380952381,3.31122448979592,3.31122448979592
"AD_198",66,4,3.42857142857143,3.57142857142857,3.14285714285714,2.28571428571429,4,4.14285714285714,7,4,3.42857142857143,3.57142857142857,3.14285714285714,2.28571428571429,4,4.14285714285714,3.51020408163265,3.51020408163265
"AD_199",9,4.06666666666667,3.53333333333333,3.73333333333333,3.33333333333333,2.73333333333333,3.73333333333333,3.46666666666667,15,4.00238095238095,3.58765432098765,3.54753086419753,3.02222222222222,2.37962962962963,3.60987654320988,3.57257495590829,3.51428571428571,3.41182697595862
"AD_2",67,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AD_20",68,4,4,3.625,3.625,2.125,3.875,3.875,8,3.7,3.6,3.4375,3.3125,2.22916666666667,3.9375,3.6875,3.58928571428571,3.48682697595862
"AD_202",71,3.21428571428571,3.58333333333333,3.25,2.83333333333333,2.66666666666667,3.66666666666667,3.33333333333333,14,2.60714285714286,2.79166666666667,2.625,2.91666666666667,2.33333333333333,3.33333333333333,3.16666666666667,3.22108843537415,3.22108843537415
"AD_204",59,4.66666666666667,4,3.66666666666667,3,2,3.66666666666667,4,3,3.80347502637419,3.91895121685038,3.54736530976027,2.92267907162865,2.47128396813271,3.84182036450944,3.67385499654407,3.57142857142857,3.46896983310148
"AD_206",32,3,3,4,NA,NA,4,NA,1,3.68913139329806,3.80281606794765,3.65181008075745,3.07385912698413,2.84387930610841,3.94626670843776,3.59866071428571,3.5,3.5
"AD_208",73,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AD_209",59,4.18181818181818,3.86363636363636,3.63636363636364,3.0952380952381,2.54545454545455,3.86363636363636,4.04545454545455,22,3.80347502637419,3.91895121685038,3.54736530976027,2.92267907162865,2.47128396813271,3.84182036450944,3.67385499654407,3.60451453308596,3.60451453308596
"AD_21",74,4,3.5,3.5,3,3,3,3,2,3.33333333333333,2.83333333333333,2.86111111111111,2.27777777777778,2.44444444444444,3.19444444444444,3,3.28571428571429,3.28571428571429
"AD_211",13,NA,NA,NA,NA,NA,NA,NA,0,5,4,4,3.5,2.5,4,4,NA,NA
"AD_216",24,3.875,4,3.875,3.28571428571429,2.5,4,3.75,8,4.4375,4,3.9375,3.39285714285714,2.5,3.75,3.625,3.61224489795918,3.61224489795918
"AD_218",62,4,3.5,3,2.5,3,4,3,2,3.64166666666667,3.58055555555556,3.16071428571429,2.6547619047619,2.55357142857143,3.68910256410256,3.08333333333333,3.28571428571429,3.18325554738719
"AD_220",71,2,2,2,3,2,3,3,1,2.60714285714286,2.79166666666667,2.625,2.91666666666667,2.33333333333333,3.33333333333333,3.16666666666667,2.42857142857143,2.32611269024434
"AD_222",59,3.5,3.65,3.2,2.7,2.3,4,3.5,20,3.80347502637419,3.91895121685038,3.54736530976027,2.92267907162865,2.47128396813271,3.84182036450944,3.67385499654407,3.26428571428571,3.16182697595862
"AD_224",59,2,3.5,3.5,2.5,2.5,4,3.5,2,3.80347502637419,3.91895121685038,3.54736530976027,2.92267907162865,2.47128396813271,3.84182036450944,3.67385499654407,3.07142857142857,2.96896983310148
"AD_225",60,2.75,4.25,3.5,3.25,2,3.25,3.25,4,3.375,3.625,3.25,2.875,2,3.375,3.375,3.17857142857143,3.07611269024434
"AD_226",35,NA,NA,NA,NA,NA,NA,NA,0,3.8125,3.62519841269841,3.47777777777778,2.85813492063492,2.55079365079365,3.76388888888889,3.66111111111111,NA,NA
"AD_228",38,3,3.75,3.5,2.75,2.5,3.5,3.5,4,3.22222222222222,3.69444444444444,3.5,2.25,2.27777777777778,4,3.83333333333333,3.21428571428571,3.11182697595862
"AD_230",7,3.5,3.5,3.75,3.25,3,4,3.75,4,3.55555555555556,3.71111111111111,3.66111111111111,2.45,2.01111111111111,3.93333333333333,3.68333333333333,3.53571428571429,3.53571428571429
"AD_232",54,5,4,4,2,2,4,4,1,4.875,4,3.625,2.125,2,4,3.875,3.57142857142857,3.46896983310148
"AD_234",80,2.5,3,3,2,2,4,3,2,2.5,3,3,2,2,4,3,2.78571428571429,2.68325554738719
"AD_235",35,4.33333333333333,4,3.33333333333333,2.33333333333333,2.66666666666667,4,4,3,3.8125,3.62519841269841,3.47777777777778,2.85813492063492,2.55079365079365,3.76388888888889,3.66111111111111,3.52380952380952,3.42135078548243
"AD_237",81,4,4,NA,NA,NA,NA,NA,1,3.875,3.625,3.33333333333333,3.5,3,4.25,4.33333333333333,4,3.89754126167291
"AD_239",82,3.33333333333333,3.66666666666667,3,1.66666666666667,1.66666666666667,3.66666666666667,2,3,3.65178571428571,3.69047619047619,3.54761904761905,2.5,2.60833333333333,3.73809523809524,3.35119047619048,2.71428571428571,2.71428571428571
"AD_24",83,3.25,3.33333333333333,3.25,2.25,2.25,3.75,3.5,4,3.75892857142857,3.64583333333333,3.33035714285714,2.65178571428571,2.41964285714286,3.9375,3.20535714285714,3.08333333333333,2.98087459500624
"AD_240",84,3.57142857142857,4.14285714285714,3.57142857142857,3.42857142857143,2.28571428571429,3.71428571428571,4,7,3.96825396825397,3.71428571428571,3.19047619047619,3.1984126984127,2.15079365079365,3.51587301587302,3.55555555555556,3.53061224489796,3.53061224489796
"AD_241",21,3.4,3.4,3.4,3.25,2.25,3.5,3.2,5,3.73555555555556,3.61888888888889,3.63,3.26888888888889,2.04444444444444,3.71111111111111,3.68444444444444,3.2,3.2
"AD_243",85,2,2.5,2.5,2.5,2.5,3,2,2,3.125,3.25,3.08333333333333,2.75,2.5,2.75,2.5,2.42857142857143,2.42857142857143
"AD_245",35,4.25,4.14285714285714,4.125,2.85714285714286,2.57142857142857,3.25,3.625,8,3.8125,3.62519841269841,3.47777777777778,2.85813492063492,2.55079365079365,3.76388888888889,3.66111111111111,3.54591836734694,3.44345962901985
"AD_246",3,3,3,3,3,3,4,3,2,3.82511874699375,3.82543590668591,3.58539562289562,3.00410052910053,2.27758537758538,3.92079789119263,3.69393939393939,3.14285714285714,3.14285714285714
"AD_247",43,3.6,2.8,2.6,2.5,2.2,2,3,5,3.3,3.4,3.3,2.5,2.6,2.5,3.33333333333333,2.67142857142857,2.56896983310148
"AD_249",3,3.9375,4.13333333333333,3.6,3.26666666666667,2.66666666666667,4,4.13333333333333,16,3.82511874699375,3.82543590668591,3.58539562289562,3.00410052910053,2.27758537758538,3.92079789119263,3.69393939393939,3.67678571428571,3.67678571428571
"AD_25",87,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AD_250",5,4.25,3.5,3.75,2.75,2,4,4.25,4,4.19326923076923,3.72115384615385,3.96057692307692,3.29903846153846,2.86538461538462,4,4.00480769230769,3.5,3.39754126167291
"AD_252",44,3.4,3.2,2.75,2.33333333333333,2.5,4.4,3.6,5,2.97166666666667,3.32291666666667,3.25535714285714,2.83333333333333,2.26071428571429,3.8,3.7452380952381,3.16904761904762,3.16904761904762
"AD_254",59,3.75,3.66666666666667,3,3,2,4.33333333333333,2.66666666666667,4,3.80347502637419,3.91895121685038,3.54736530976027,2.92267907162865,2.47128396813271,3.84182036450944,3.67385499654407,3.20238095238095,3.20238095238095
"AD_255",59,2.5,4,3,3,4,3,4,2,3.80347502637419,3.91895121685038,3.54736530976027,2.92267907162865,2.47128396813271,3.84182036450944,3.67385499654407,3.35714285714286,3.35714285714286
"AD_258",92,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AD_259",74,3.5,3.5,3.58333333333333,2.83333333333333,2.33333333333333,3.58333333333333,3.5,12,3.33333333333333,2.83333333333333,2.86111111111111,2.27777777777778,2.44444444444444,3.19444444444444,3,3.26190476190476,3.15944602357767
"AD_26",21,3.5,3.75,3.75,3.25,2.25,4,4,4,3.73555555555556,3.61888888888889,3.63,3.26888888888889,2.04444444444444,3.71111111111111,3.68444444444444,3.5,3.39754126167291
"AD_260",93,3.33333333333333,4.33333333333333,4,3.33333333333333,2.33333333333333,4,3.33333333333333,3,3.33333333333333,4.33333333333333,4,3.33333333333333,2.33333333333333,4,3.33333333333333,3.52380952380952,3.42135078548243
"AD_261",59,4,4.29411764705882,3.88235294117647,3.47058823529412,2.41176470588235,3.76470588235294,3.88235294117647,17,3.80347502637419,3.91895121685038,3.54736530976027,2.92267907162865,2.47128396813271,3.84182036450944,3.67385499654407,3.67226890756303,3.67226890756303
"AD_263",39,4.2,4.4,3.8,3.4,2.6,3.8,4.4,5,4.09166666666667,4.20416666666667,3.95,3.22797619047619,2.03095238095238,4.00654761904762,4.33809523809524,3.8,3.8
"AD_264",3,4.5,4,3.75,3.25,2.75,4.25,4.25,4,3.82511874699375,3.82543590668591,3.58539562289562,3.00410052910053,2.27758537758538,3.92079789119263,3.69393939393939,3.82142857142857,3.71896983310148
"AD_265",82,3.66666666666667,3.66666666666667,3.66666666666667,2.33333333333333,3,3,3.33333333333333,3,3.65178571428571,3.69047619047619,3.54761904761905,2.5,2.60833333333333,3.73809523809524,3.35119047619048,3.23809523809524,3.23809523809524
"AD_266",55,3.8,3.8,3.4,3.4,2.4,3.6,3,5,3.47142857142857,3.68571428571429,3.48571428571429,2.91428571428571,2.2,3.58571428571429,3.28571428571429,3.34285714285714,3.24039840453005
"AD_267",82,3.75,4,3.85714285714286,3,2.16666666666667,3.85714285714286,3.57142857142857,8,3.65178571428571,3.69047619047619,3.54761904761905,2.5,2.60833333333333,3.73809523809524,3.35119047619048,3.45748299319728,3.35502425487019
"AD_269",94,2.58333333333333,2.45454545454545,2.66666666666667,2.5,2.3,3.81818181818182,2.72727272727273,12,3.04166666666667,2.97727272727273,2.58333333333333,2.25,2.4,3.90909090909091,2.86363636363636,2.72142857142857,2.61896983310148
"AD_27",35,3.625,3.375,2.875,2.625,2,4,3.375,8,3.8125,3.62519841269841,3.47777777777778,2.85813492063492,2.55079365079365,3.76388888888889,3.66111111111111,3.125,3.02254126167291
"AD_271",96,NA,NA,NA,NA,NA,NA,NA,0,3.25,3.25,2.75,2.33333333333333,2.5,3.83333333333333,3.75,NA,NA
"AD_273",85,4.25,4,3.66666666666667,3,2.5,2.5,3,4,3.125,3.25,3.08333333333333,2.75,2.5,2.75,2.5,3.27380952380952,3.27380952380952
"AD_274",59,4.18181818181818,4.1,3.6,3.5,2.7,3.5,3.7,11,3.80347502637419,3.91895121685038,3.54736530976027,2.92267907162865,2.47128396813271,3.84182036450944,3.67385499654407,3.61168831168831,3.50922957336122
"AD_277",100,4,4,4,NA,4,4,5,1,4,4,4,NA,4,4,5,4.16666666666667,4.06420792833958
"AD_278",59,3.6,3.8,3.6,3.2,3,3.8,3.4,5,3.80347502637419,3.91895121685038,3.54736530976027,2.92267907162865,2.47128396813271,3.84182036450944,3.67385499654407,3.48571428571429,3.48571428571429
"AD_279",35,4.16666666666667,3.83333333333333,3.83333333333333,3.33333333333333,2.66666666666667,3.83333333333333,4.16666666666667,6,3.8125,3.62519841269841,3.47777777777778,2.85813492063492,2.55079365079365,3.76388888888889,3.66111111111111,3.69047619047619,3.69047619047619
"AD_28",32,3,3,3,NA,3,NA,3,1,3.68913139329806,3.80281606794765,3.65181008075745,3.07385912698413,2.84387930610841,3.94626670843776,3.59866071428571,3,3
"AD_286",41,3,3.58333333333333,2.75,2.5,2.33333333333333,3.58333333333333,3.08333333333333,12,3.375,3.91666666666667,3.25,2.75,2.66666666666667,4.04166666666667,3.54166666666667,2.97619047619048,2.97619047619048
"AD_288",96,2.5,2.5,2.5,2,3,4,3.5,2,3.25,3.25,2.75,2.33333333333333,2.5,3.83333333333333,3.75,2.85714285714286,2.75468411881577
"AD_29",104,4.33333333333333,4.66666666666667,4.33333333333333,3.66666666666667,2.66666666666667,4.33333333333333,4.66666666666667,3,4.38888888888889,4.45833333333333,4.04761904761905,3.26388888888889,2.65277777777778,4.26190476190476,4.44444444444444,4.09523809523809,3.992779356911
"AD_292",83,4,3.5,3,3,2.5,4,3,2,3.75892857142857,3.64583333333333,3.33035714285714,2.65178571428571,2.41964285714286,3.9375,3.20535714285714,3.28571428571429,3.28571428571429
"AD_296",3,NA,NA,NA,NA,NA,NA,NA,0,3.82511874699375,3.82543590668591,3.58539562289562,3.00410052910053,2.27758537758538,3.92079789119263,3.69393939393939,NA,NA
"AD_297",105,4.25,4.25,4.25,3,2.25,4.25,4.25,4,3.875,4.125,3.125,3,2.875,4.125,4.125,3.78571428571429,3.68325554738719
"AD_299",21,3.77777777777778,3.44444444444444,3.33333333333333,3.11111111111111,1.88888888888889,3.88888888888889,3.88888888888889,9,3.73555555555556,3.61888888888889,3.63,3.26888888888889,2.04444444444444,3.71111111111111,3.68444444444444,3.33333333333333,3.23087459500624
"AD_30",107,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AD_302",104,4.33333333333333,4.33333333333333,3.66666666666667,3,2.66666666666667,4.16666666666667,4.16666666666667,6,4.38888888888889,4.45833333333333,4.04761904761905,3.26388888888889,2.65277777777778,4.26190476190476,4.44444444444444,3.76190476190476,3.65944602357767
"AD_303",110,3.66666666666667,3.33333333333333,3,2.66666666666667,2,4.33333333333333,4.33333333333333,3,3.66666666666667,3.33333333333333,3,2.66666666666667,2,4.33333333333333,4.33333333333333,3.33333333333333,3.23087459500624
"AD_304",111,5,5,5,NA,NA,NA,NA,1,4.33333333333333,5,5,5,3.5,3,3.33333333333333,5,4.89754126167291
"AD_307",9,4,3.75,3.58333333333333,3.16666666666667,2.75,3.5,3.16666666666667,12,4.00238095238095,3.58765432098765,3.54753086419753,3.02222222222222,2.37962962962963,3.60987654320988,3.57257495590829,3.41666666666667,3.41666666666667
"AD_308",32,4,3.89473684210526,3.63157894736842,3,2.61111111111111,4.11111111111111,3.72222222222222,19,3.68913139329806,3.80281606794765,3.65181008075745,3.07385912698413,2.84387930610841,3.94626670843776,3.59866071428571,3.5672514619883,3.46479272366121
"AD_312",7,NA,NA,NA,NA,NA,NA,NA,0,3.55555555555556,3.71111111111111,3.66111111111111,2.45,2.01111111111111,3.93333333333333,3.68333333333333,NA,NA
"AD_314",96,4,4,3,2.66666666666667,2,3.66666666666667,4,3,3.25,3.25,2.75,2.33333333333333,2.5,3.83333333333333,3.75,3.33333333333333,3.33333333333333
"AD_315",81,3.75,3.25,3.33333333333333,3.5,3,4.25,4.33333333333333,4,3.875,3.625,3.33333333333333,3.5,3,4.25,4.33333333333333,3.63095238095238,3.63095238095238
"AD_316",9,3.8,3.2,3,2.2,1.6,3.2,3,5,4.00238095238095,3.58765432098765,3.54753086419753,3.02222222222222,2.37962962962963,3.60987654320988,3.57257495590829,2.85714285714286,2.85714285714286
"AD_319",59,4.05882352941176,3.76470588235294,3.47058823529412,3.05882352941176,2.17647058823529,4,3.88235294117647,17,3.80347502637419,3.91895121685038,3.54736530976027,2.92267907162865,2.47128396813271,3.84182036450944,3.67385499654407,3.48739495798319,3.48739495798319
"AD_321",23,4.26315789473684,4.16666666666667,3.52941176470588,3.11764705882353,2.70588235294118,3.88235294117647,3.64705882352941,19,4.06716149347728,3.91367521367521,3.46143790849673,3.00686274509804,2.76895424836601,3.76535947712418,3.56274509803922,3.61602535751143,3.51356661918433
"AD_322",62,3.8,3.86666666666667,3.35714285714286,2.71428571428571,2.28571428571429,3.69230769230769,3.5,15,3.64166666666667,3.58055555555556,3.16071428571429,2.6547619047619,2.55357142857143,3.68910256410256,3.08333333333333,3.31658817373103,3.21412943540394
"AD_323",115,4,4.33333333333333,4,3.33333333333333,3,4,4.33333333333333,3,4.5,4.16666666666667,4,3.16666666666667,3,4,4.16666666666667,3.85714285714286,3.75468411881577
"AD_324",23,4.11111111111111,4.05555555555556,3.77777777777778,3,3.05555555555556,3.94444444444444,3.5,18,4.06716149347728,3.91367521367521,3.46143790849673,3.00686274509804,2.76895424836601,3.76535947712418,3.56274509803922,3.63492063492063,3.53246189659354
"AD_325",83,4.28571428571429,4,3.57142857142857,2.85714285714286,2.42857142857143,4,3.57142857142857,7,3.75892857142857,3.64583333333333,3.33035714285714,2.65178571428571,2.41964285714286,3.9375,3.20535714285714,3.53061224489796,3.42815350657087
"AD_326",116,4,4,3,4,3,3,2,1,4,4,3,4,3,3,2,3.28571428571429,3.18325554738719
"AD_329",3,4.25,3.83333333333333,3.58333333333333,3.08333333333333,2.45454545454545,3.63636363636364,3.75,12,3.82511874699375,3.82543590668591,3.58539562289562,3.00410052910053,2.27758537758538,3.92079789119263,3.69393939393939,3.51298701298701,3.41052827465992
"AD_33",83,3.5,3.75,3.5,2.5,2.5,4,2.75,4,3.75892857142857,3.64583333333333,3.33035714285714,2.65178571428571,2.41964285714286,3.9375,3.20535714285714,3.21428571428571,3.11182697595862
"AD_330",68,3.4,3.2,3.25,3,2.33333333333333,4,3.5,5,3.7,3.6,3.4375,3.3125,2.22916666666667,3.9375,3.6875,3.24047619047619,3.1380174521491
"AD_333",118,4.66666666666667,4.33333333333333,4.33333333333333,3.33333333333333,2.66666666666667,4,4.66666666666667,3,4.66666666666667,4.33333333333333,4.33333333333333,3.33333333333333,2.66666666666667,4,4.66666666666667,4,3.89754126167291
"AD_335",31,3.82352941176471,3.88235294117647,4.05882352941176,3.33333333333333,2.28571428571429,4,3.86666666666667,17,3.4081550802139,3.44558823529412,3.79387254901961,3.13245614035088,2.38721804511278,3.85297619047619,3.90416666666667,3.60720288115246,3.50474414282537
"AD_336",84,4,3,3,3.5,2.5,3.5,3,2,3.96825396825397,3.71428571428571,3.19047619047619,3.1984126984127,2.15079365079365,3.51587301587302,3.55555555555556,3.21428571428571,3.11182697595862
"AD_34",119,3.6,4,3.6,2.6,2.25,4,3.25,5,3.55,3.5,2.8,2.6,2.125,4,3.625,3.32857142857143,3.32857142857143
"AD_346",21,4.33333333333333,3.66666666666667,4,3.33333333333333,2,3.66666666666667,3.33333333333333,3,3.73555555555556,3.61888888888889,3.63,3.26888888888889,2.04444444444444,3.71111111111111,3.68444444444444,3.47619047619048,3.37373173786338
"AD_347",123,2.66666666666667,3,2.33333333333333,3,2.33333333333333,3.33333333333333,3,3,3.43333333333333,3.2,2.86666666666667,3.1,2.76666666666667,3.46666666666667,3.2,2.80952380952381,2.70706507119672
"AD_348",32,3.88888888888889,3.88888888888889,3.44444444444444,3,3,3.66666666666667,3.77777777777778,9,3.68913139329806,3.80281606794765,3.65181008075745,3.07385912698413,2.84387930610841,3.94626670843776,3.59866071428571,3.52380952380952,3.42135078548243
"AD_35",105,3.5,4,2,3,3.5,4,4,2,3.875,4.125,3.125,3,2.875,4.125,4.125,3.42857142857143,3.42857142857143
"AD_37",20,3.875,4,3.875,2.875,2.5,3.875,4.375,8,4.01388888888889,4.05555555555556,3.95833333333333,3.29166666666667,2.33333333333333,3.78055555555556,3.84722222222222,3.625,3.625
"AD_38",82,3.85714285714286,3.42857142857143,3.66666666666667,3,3.6,4.42857142857143,4.5,7,3.65178571428571,3.69047619047619,3.54761904761905,2.5,2.60833333333333,3.73809523809524,3.35119047619048,3.78299319727891,3.68053445895182
"AD_40",124,3,4.5,4,2.5,2.5,4,4,2,3,4.5,4,2.5,2.5,4,4,3.5,3.5
"AD_41",44,3,NA,NA,NA,NA,NA,NA,1,2.97166666666667,3.32291666666667,3.25535714285714,2.83333333333333,2.26071428571429,3.8,3.7452380952381,3,3
"AD_42",125,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AD_44",59,3.66666666666667,3.83333333333333,3.5,2.5,2,4,3.5,6,3.80347502637419,3.91895121685038,3.54736530976027,2.92267907162865,2.47128396813271,3.84182036450944,3.67385499654407,3.28571428571429,3.28571428571429
"AD_46",115,5,4,4,3,3,4,4,1,4.5,4.16666666666667,4,3.16666666666667,3,4,4.16666666666667,3.85714285714286,3.75468411881577
"AD_47",3,3.42857142857143,3.47619047619048,3.45,3.1,2.45,3.78947368421053,3.75,21,3.82511874699375,3.82543590668591,3.58539562289562,3.00410052910053,2.27758537758538,3.92079789119263,3.69393939393939,3.34917651271035,3.24671777438326
"AD_5",32,2,3.5,4,3,3,NA,NA,2,3.68913139329806,3.80281606794765,3.65181008075745,3.07385912698413,2.84387930610841,3.94626670843776,3.59866071428571,3.1,2.99754126167291
"AD_50",119,3.5,3,2,NA,2,4,4,2,3.55,3.5,2.8,2.6,2.125,4,3.625,3.08333333333333,2.98087459500624
"AD_51",123,4.2,3.4,3.4,3.2,3.2,3.6,3.4,5,3.43333333333333,3.2,2.86666666666667,3.1,2.76666666666667,3.46666666666667,3.2,3.48571428571429,3.48571428571429
"AD_52",32,3,3.6,3.2,3.25,3.2,3.4,3.2,5,3.68913139329806,3.80281606794765,3.65181008075745,3.07385912698413,2.84387930610841,3.94626670843776,3.59866071428571,3.26428571428571,3.26428571428571
"AD_56",31,3.90909090909091,4.1,3.85,3.26315789473684,2.26315789473684,3.76190476190476,3.8,22,3.4081550802139,3.44558823529412,3.79387254901961,3.13245614035088,2.38721804511278,3.85297619047619,3.90416666666667,3.56390163720991,3.46144289888282
"AD_57",3,3.11111111111111,3.55555555555556,3.11111111111111,2.77777777777778,2.44444444444444,3.55555555555556,3,9,3.82511874699375,3.82543590668591,3.58539562289562,3.00410052910053,2.27758537758538,3.92079789119263,3.69393939393939,3.07936507936508,2.97690634103799
"AD_58",9,2.83333333333333,3.33333333333333,3.66666666666667,3.33333333333333,3,3.5,3.33333333333333,6,4.00238095238095,3.58765432098765,3.54753086419753,3.02222222222222,2.37962962962963,3.60987654320988,3.57257495590829,3.28571428571429,3.18325554738719
"AD_59",38,4,4,3,2,2,4,4,1,3.22222222222222,3.69444444444444,3.5,2.25,2.27777777777778,4,3.83333333333333,3.28571428571429,3.28571428571429
