"farmer_ID","shop_ID","knows_dealer","bought_at_dealer","duration_customer","knows_other_customer","refunds","gives_credit","gives_advice","delivers","after_sales_service","payment_mehtods","small_quant","catchID"
"F_1478","AD_130","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1480","AD_130","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1298","AD_130","Yes","No","n/a","Yes","98","98","Yes","Yes","No","98","Yes","30"
"F_1296","AD_130","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1295","AD_130","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1291","AD_130","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1294","AD_130","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_1293","AD_130","Yes","Yes","2020-02-01","n/a","98","Yes","Yes","Yes","Yes","Yes","No","30"
"F_2426","AD_130","Yes","Yes","2012-02-01","n/a","Yes","Yes","Yes","Yes","Yes","Yes","No","30"
"F_2427","AD_130","Yes","Yes","2005-02-01","n/a","Yes","Yes","Yes","Yes","Yes","Yes","No","30"
"F_2428","AD_130","Yes","Yes","2001-02-01","n/a","Yes","Yes","Yes","98","Yes","Yes","No","30"
"F_2422","AD_130","Yes","Yes","2020-02-01","n/a","98","98","Yes","No","Yes","Yes","No","30"
"F_2430","AD_130","Yes","No","n/a","Yes","98","No","Yes","No","No","No","Yes","30"
"F_2421","AD_130","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_71","AD_4","Yes","Yes","2019-02-01","n/a","98","No","No","No","No","No","Yes","8"
"F_72","AD_4","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_2424","AD_130","Yes","Yes","2014-02-01","n/a","Yes","Yes","Yes","No","Yes","Yes","Yes","30"
"F_73","AD_4","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_2429","AD_130","Yes","Yes","2017-02-01","n/a","Yes","Yes","Yes","No","No","Yes","Yes","30"
"F_76","AD_4","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_1292","AD_130","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30"
"F_2425","AD_130","Yes","Yes","2010-02-01","n/a","98","98","Yes","98","Yes","98","Yes","30"
"F_2822","AD_4","Yes","Yes","2020-02-01","n/a","Yes","No","Yes","No","No","Yes","Yes","8"
"F_2423","AD_130","Yes","No","n/a","Yes","No","No","No","No","98","98","Yes","30"
"F_3400","AD_4","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_886","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_889","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_887","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2830","AD_4","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_2826","AD_4","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_2828","AD_4","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_2827","AD_4","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_2829","AD_4","Yes","Yes","2013-02-01","n/a","98","Yes","Yes","No","98","98","Yes","8"
"F_2821","AD_4","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_352","AD_130","Yes","Yes","2000-02-01","n/a","No","Yes","Yes","Yes","Yes","No","Yes","30"
"F_2823","AD_4","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_355","AD_130","Yes","Yes","2015-02-01","n/a","Yes","Yes","Yes","No","Yes","No","Yes","30"
"F_2824","AD_4","Yes","Yes","2019-02-01","n/a","98","No","Yes","No","98","No","Yes","8"
"F_351","AD_130","Yes","Yes","2020-02-01","n/a","98","98","98","98","Yes","98","Yes","30"
"F_354","AD_130","Yes","Yes","2016-02-01","n/a","Yes","Yes","Yes","No","Yes","No","Yes","30"
"F_2786","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2783","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_353","AD_130","Yes","Yes","2010-02-01","n/a","Yes","Yes","Yes","Yes","Yes","No","Yes","30"
"F_2782","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_360","AD_130","Yes","Yes","2006-02-01","n/a","Yes","Yes","Yes","98","Yes","98","Yes","30"
"F_149","AD_338","Yes","Yes","2017-02-01","n/a","Yes","No","Yes","Yes","Yes","98","Yes","14"
"F_143","AD_338","Yes","Yes","2019-02-01","n/a","98","No","No","No","No","98","Yes","14"
"F_74","AD_4","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_150","AD_338","Yes","Yes","2019-02-01","n/a","98","No","No","No","No","98","Yes","14"
"F_77","AD_4","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_78","AD_4","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_79","AD_4","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_80","AD_4","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_2825","AD_4","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_356","AD_130","Yes","Yes","2011-02-01","n/a","Yes","No","Yes","No","No","98","Yes","30"
"F_884","AD_12","Yes","Yes","2019-02-01","n/a","No","No","No","Yes","No","No","Yes","64"
"F_885","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_359","AD_130","Yes","Yes","2017-02-01","n/a","Yes","Yes","Yes","98","Yes","98","Yes","30"
"F_888","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_1146","AD_268","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_1878","AD_268","Yes","Yes","2019-02-01","n/a","Yes","Yes","Yes","Yes","Yes","Yes","No","70"
"F_1150","AD_268","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_148","AD_338","Yes","Yes","2020-02-01","n/a","No","98","No","Yes","No","98","Yes","14"
"F_142","AD_338","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","14"
"F_1873","AD_268","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_1871","AD_268","Yes","No","n/a","Yes","Yes","98","Yes","Yes","98","98","No","70"
"F_2064","AD_4","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8"
"F_145","AD_338","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","14"
"F_1872","AD_268","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_1874","AD_268","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_1877","AD_268","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_1879","AD_268","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_1875","AD_268","Yes","Yes","2020-02-01","n/a","No","No","No","Yes","No","Yes","No","70"
"F_3050","AD_6","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_1880","AD_268","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_1876","AD_268","Yes","Yes","2018-02-01","n/a","No","No","Yes","Yes","Yes","Yes","No","70"
"F_1148","AD_268","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
"F_1149","AD_268","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","70"
